,Drug,Disease
505,FLUDARABINE PHOSPHATE,Paroxysmal nocturnal hemoglobinuria
506,MEMANTINE,Sickle cell anemia
507,AMLODIPINE,Beta-thalassemia major
512,FLUDARABINE PHOSPHATE,Congenital amegakaryocytic thrombocytopenia
514,FILGRASTIM,Fanconi anemia
516,RITUXIMAB,Sickle cell anemia
518,MYCOPHENOLATE MOFETIL,Sickle cell anemia
519,DIPYRIDAMOLE,Sickle cell anemia
524,RITUXIMAB,hemolytic-uremic syndrome
526,VORINOSTAT,Sickle cell anemia
528,MYCOPHENOLATE MOFETIL,Paroxysmal nocturnal hemoglobinuria
532,NITRIC OXIDE,Sickle cell anemia
534,PHENYTOIN,Sickle cell anemia
539,THALIDOMIDE,primary myelofibrosis
540,SIROLIMUS,anemia (disease)
544,FILGRASTIM,Sickle cell anemia
551,LENALIDOMIDE,primary myelofibrosis
553,AZACITIDINE,Beta-thalassemia
565,SIROLIMUS,Beta-thalassemia
582,TACROLIMUS,Sickle cell anemia
588,TACROLIMUS,primary myelofibrosis
590,PROPRANOLOL,Sickle cell anemia
598,RIOCIGUAT,Sickle cell anemia
601,SIROLIMUS,Fanconi anemia
608,METHYLPREDNISOLONE,Fanconi anemia
611,SIROLIMUS,Sickle cell anemia
614,BORTEZOMIB,pure red-cell aplasia
615,MYCOPHENOLATE MOFETIL,Fanconi anemia
618,LEVETIRACETAM,Sickle cell anemia
619,PREDNISONE,"Anemia, Hemolytic, Autoimmune"
624,HYDROXYUREA,Hemoglobin SC Disease
625,TIPIFARNIB,primary myelofibrosis
630,ALEMTUZUMAB,"Anemia, Hemolytic, Autoimmune"
632,HYDROXYUREA,Beta-thalassemia
634,PREDNISONE,primary myelofibrosis
637,METHOTREXATE,Sickle cell anemia
644,ATORVASTATIN,Sickle cell anemia
647,HYDROXYUREA,Beta-thalassemia intermedia
655,TRETINOIN,anemia (disease)
667,METHOTREXATE,primary myelofibrosis
679,DEXAMETHASONE,pure red-cell aplasia
682,METHOTREXATE,Congenital amegakaryocytic thrombocytopenia
684,ZOLEDRONIC ACID,Beta-thalassemia
687,MYCOPHENOLATE MOFETIL,Congenital amegakaryocytic thrombocytopenia
707,ZOLEDRONIC ACID,primary myelofibrosis
720,METHOTREXATE,Paroxysmal nocturnal hemoglobinuria
725,METOPROLOL,Beta-thalassemia
738,TACROLIMUS,Congenital amegakaryocytic thrombocytopenia
740,AZACITIDINE,Beta-thalassemia major
747,TACROLIMUS,Paroxysmal nocturnal hemoglobinuria
757,SIMVASTATIN,Sickle cell anemia
758,IMATINIB,primary myelofibrosis
759,AMBRISENTAN,Sickle cell anemia
760,VATALANIB,primary myelofibrosis
761,CYCLOSPORINE,Fanconi anemia
763,PANOBINOSTAT,Sickle cell anemia
767,POMALIDOMIDE,Sickle cell anemia
768,DECITABINE,Sickle cell anemia
769,CHOLECALCIFEROL,Sickle cell anemia
771,CYCLOSPORINE,Sickle cell anemia
774,ALDESLEUKIN,"Anemia, Hemolytic, Autoimmune"
777,ALEMTUZUMAB,Fanconi anemia
781,TACROLIMUS,Beta-thalassemia
783,CYCLOSPORINE,Beta-thalassemia
785,ZOLEDRONIC ACID,Sickle cell anemia
793,ASPIRIN,Sickle cell anemia
794,MYCOPHENOLATE MOFETIL,Beta-thalassemia
810,PREDNISONE,Fanconi anemia
811,METHOTREXATE,Fanconi anemia
817,DURVALUMAB,primary myelofibrosis
818,ARSENIC TRIOXIDE,primary myelofibrosis
820,METFORMIN,Sickle cell anemia
822,FILGRASTIM,primary myelofibrosis
825,IMATINIB,Sickle cell anemia
858,ETANERCEPT,Fanconi anemia
879,EPINEPHRINE,asthma
881,THEOPHYLLINE,asthma
883,CARBAMAZEPINE,asthma
889,LAMOTRIGINE,asthma
891,HYDROCORTISONE,asthma
893,METHYLPREDNISOLONE,asthma
902,PREDNISONE,asthma
911,PREDNISOLONE,asthma
912,EPHEDRINE,asthma
913,PREDNISONE,Status Asthmaticus
914,PHENYTOIN,asthma
917,DEXAMETHASONE,asthma
918,DEXAMETHASONE,Status Asthmaticus
925,ASPIRIN,asthma
928,OXCARBAZEPINE,asthma
940,VALPROIC ACID,asthma
941,NITRIC OXIDE,asthma
955,PROPRANOLOL,asthma
960,ERGOCALCIFEROL,asthma
963,DEXTROMETHORPHAN,asthma
967,CHOLECALCIFEROL,asthma
993,CALCITRIOL,asthma
1006,VARENICLINE,asthma
1021,COLCHICINE,asthma
1023,ROFLUMILAST,asthma
1026,SIMVASTATIN,asthma
1029,KETAMINE,Status Asthmaticus
1036,MASITINIB,asthma
1053,METHOTREXATE,asthma
1061,ROFLUMILAST,allergic asthma
1071,ASM-024,allergic asthma
1072,ROSIGLITAZONE,asthma
1074,ABATACEPT,atopic asthma
1075,ASM-024,asthma
1079,SECUKINUMAB,asthma
1085,BOSENTAN,asthma
1088,FINGOLIMOD,asthma
1090,TACROLIMUS,asthma
1118,IMATINIB,asthma
1122,PIOGLITAZONE,asthma
1133,ATORVASTATIN,asthma
1137,AMBRISENTAN,asthma
1146,ETANERCEPT,asthma
1170,INDOMETHACIN,asthma
1181,ROSUVASTATIN,asthma
1184,RISPERIDONE,autism
1187,ARIPIPRAZOLE,autism
1189,TRICLOFOS,autism
1201,DEXMEDETOMIDINE,autism
1204,VALPROIC ACID,autism
1214,MEMANTINE,autism
1229,QUINIDINE,autism
1232,ACAMPROSATE,autism
1233,OLANZAPINE,autism
1240,VASOPRESSIN,autism
1244,CHOLECALCIFEROL,autism
1245,MELATONIN,autism
1248,CANNABIDIOL,autism
1254,DEXTROMETHORPHAN,autism
1255,LENALIDOMIDE,autism
1296,DEXMEDETOMIDINE,pituitary cancer
1299,VINCRISTINE,brain cancer
1300,DOXORUBICIN,brain cancer
1304,ETOPOSIDE,brain cancer
1307,BEVACIZUMAB,gliosarcoma
1308,METHOTREXATE,brain cancer
1310,NIVOLUMAB,brain cancer
1314,IRINOTECAN,brain cancer
1315,DOVITINIB,gliosarcoma
1316,CEDIRANIB,gliosarcoma
1317,NINTEDANIB,gliosarcoma
1318,DASATINIB,gliosarcoma
1319,IMATINIB,gliosarcoma
1320,SORAFENIB,gliosarcoma
1322,SUNITINIB,gliosarcoma
1323,NIVOLUMAB,pituitary adenocarcinoma (disease)
1324,ETOPOSIDE,gliosarcoma
1326,HYDROXYUREA,gliosarcoma
1327,PANOBINOSTAT,diffuse intrinsic pontine glioma
1328,PAZOPANIB,gliosarcoma
1329,PEMBROLIZUMAB,gliosarcoma
1330,VANDETANIB,gliosarcoma
1331,DASATINIB,Pineoblastoma
1332,VINORELBINE,diffuse intrinsic pontine glioma
1335,DASATINIB,diffuse intrinsic pontine glioma
1336,CETUXIMAB,brain cancer
1339,LENALIDOMIDE,gliosarcoma
1343,EVEROLIMUS,diffuse intrinsic pontine glioma
1345,VORINOSTAT,gliosarcoma
1347,TIPIFARNIB,childhood brain stem glioma
1348,ERLOTINIB,gliosarcoma
1350,PASIREOTIDE,ACTH-Producing Pituitary Gland Carcinoma
1357,CILENGITIDE,gliosarcoma
1358,SIROLIMUS,Pineoblastoma
1364,DACOMITINIB,brain cancer
1365,VELIPARIB,gliosarcoma
1366,IRINOTECAN,brain glioma
1372,MOTEXAFIN GADOLINIUM,childhood brain stem glioma
1385,LITHIUM CARBONATE,brain cancer
1387,ERLOTINIB,diffuse intrinsic pontine glioma
1388,SIROLIMUS,gliosarcoma
1393,ANLOTINIB,brainstem cancer
1397,IPILIMUMAB,gliosarcoma
1407,IRINOTECAN,Pineoblastoma
1408,IRINOTECAN,gliosarcoma
1412,CARMUSTINE,gliosarcoma
1413,IPILIMUMAB,pituitary adenocarcinoma (disease)
1422,SARGRAMOSTIM,gliosarcoma
1423,DEXAMETHASONE,brain cancer
1436,NIMOTUZUMAB,diffuse intrinsic pontine glioma
1446,TIPIFARNIB,gliosarcoma
1448,GEFITINIB,gliosarcoma
1451,CAPECITABINE,brain cancer
1455,BORTEZOMIB,gliosarcoma
1459,BEVACIZUMAB,brain cancer
1460,BEVACIZUMAB,diffuse intrinsic pontine glioma
1475,CELECOXIB,brain cancer
1476,AFLIBERCEPT,gliosarcoma
1480,NIVOLUMAB,gliosarcoma
1482,LAPATINIB,brain cancer
1486,TEMSIROLIMUS,gliosarcoma
1494,PANITUMUMAB,brain glioma
1495,TOPOTECAN,gliosarcoma
1498,LAPATINIB,gliosarcoma
1520,BEVACIZUMAB,Pineoblastoma
1535,NIMOTUZUMAB,childhood brain stem neoplasm
1544,CARMUSTINE,brain cancer
1546,IXABEPILONE,gliosarcoma
1547,ACETAZOLAMIDE,brain glioma
1548,AFATINIB,brain cancer
1550,SELINEXOR,gliosarcoma
1551,FLUDARABINE PHOSPHATE,Brain Stem Glioma
1552,CABAZITAXEL,brain cancer
1553,METFORMIN,gliosarcoma
1554,VORINOSTAT,brain cancer
1555,GEMCITABINE,brain cancer
1557,FLUDARABINE PHOSPHATE,brain cancer
1560,SARGRAMOSTIM,Brain Stem Glioma
1561,VORINOSTAT,diffuse intrinsic pontine glioma
1563,VANDETANIB,diffuse intrinsic pontine glioma
1564,FLUDARABINE PHOSPHATE,gliosarcoma
1568,IMIQUIMOD,diffuse intrinsic pontine glioma
1569,CILENGITIDE,diffuse intrinsic pontine glioma
1571,FLUDARABINE PHOSPHATE,diffuse intrinsic pontine glioma
1572,FILGRASTIM,gliosarcoma
1576,UCN-01,Olfactory Neuroblastoma
1577,PACLITAXEL,gliosarcoma
1581,ISOTRETINOIN,gliosarcoma
1582,ATEZOLIZUMAB,gliosarcoma
1583,CABOZANTINIB,gliosarcoma
1584,ZOTIRACICLIB,gliosarcoma
1587,LENALIDOMIDE,diffuse intrinsic pontine glioma
1604,MEMANTINE,gliosarcoma
1619,ROMIDEPSIN,gliosarcoma
1622,IRINOTECAN,Olfactory Neuroblastoma
1624,ARSENIC TRIOXIDE,gliosarcoma
1625,RIBOCICLIB,diffuse intrinsic pontine glioma
1627,NIVOLUMAB,diffuse intrinsic pontine glioma
1634,ARSENIC TRIOXIDE,brain cancer
1637,MYCOPHENOLATE MOFETIL,gliosarcoma
1642,ABEMACICLIB,diffuse intrinsic pontine glioma
1645,MOTEXAFIN GADOLINIUM,gliosarcoma
1661,ERLOTINIB,brain cancer
1681,ERLOTINIB,Brain Stem Glioma
1684,PEMBROLIZUMAB,brain cancer
1694,PEGFILGRASTIM,brain cancer
1697,ALDESLEUKIN,gliosarcoma
1711,TEMSIROLIMUS,diffuse intrinsic pontine glioma
1717,AXITINIB,gliosarcoma
1743,FILGRASTIM,brain cancer
1762,IRINOTECAN,diffuse intrinsic pontine glioma
1777,CRIZOTINIB,diffuse intrinsic pontine glioma
1805,IMIQUIMOD,brain cancer
1810,CEMIPLIMAB,diffuse intrinsic pontine glioma
1824,PIOGLITAZONE,brain cancer
1826,GEMCITABINE,diffuse intrinsic pontine glioma
1838,PACLITAXEL,breast cancer
1839,DOCETAXEL,breast cancer
1840,ANASTROZOLE,breast carcinoma
1843,DOCETAXEL,breast carcinoma
1847,PACLITAXEL,breast carcinoma
1848,VINORELBINE,breast cancer
1849,PROPOFOL,female breast carcinoma
1853,IXABEPILONE,breast carcinoma
1858,ZOLEDRONIC ACID,breast cancer
1860,ERIBULIN,breast cancer
1864,LETROZOLE,breast carcinoma
1865,GEMCITABINE,breast carcinoma
1866,TRASTUZUMAB,breast carcinoma
1867,FULVESTRANT,breast carcinoma
1868,ANASTROZOLE,breast cancer
1869,TRASTUZUMAB EMTANSINE,breast cancer
1877,ERIBULIN,breast carcinoma
1884,ROPIVACAINE,breast cancer
1885,CAPECITABINE,breast carcinoma
1886,FILGRASTIM,breast cancer
1888,SEVOFLURANE,female breast carcinoma
1889,LETROZOLE,breast cancer
1901,FULVESTRANT,breast cancer
1902,BEVACIZUMAB,breast cancer
1903,ABEMACICLIB,breast cancer
1908,KETAMINE,breast cancer
1911,PERTUZUMAB,breast carcinoma
1914,TRASTUZUMAB EMTANSINE,breast carcinoma
1915,TRASTUZUMAB,breast cancer
1917,TAMOXIFEN,breast cancer
1918,ABEMACICLIB,breast carcinoma
1919,EVEROLIMUS,breast cancer
1923,DOXORUBICIN,breast cancer
1935,CAPECITABINE,breast cancer
1936,TAMOXIFEN,breast carcinoma in situ
1942,IMATINIB,breast cancer
1953,LAPATINIB,breast carcinoma
1955,ROPIVACAINE,breast ductal carcinoma in situ
1968,PALBOCICLIB,breast carcinoma
1977,DEXMEDETOMIDINE,breast cancer
1978,PEGFILGRASTIM,breast cancer
1980,PALBOCICLIB,breast cancer
1984,RIBOCICLIB,breast carcinoma
1989,BEVACIZUMAB,breast carcinoma
1990,EVEROLIMUS,breast carcinoma
2008,NERATINIB,breast carcinoma
2010,TALAZOPARIB,breast carcinoma
2027,ANASTROZOLE,breast carcinoma in situ
2050,METHOTREXATE,breast carcinoma
2052,LETROZOLE,breast carcinoma in situ
2054,PERTUZUMAB,breast cancer
2083,GEMCITABINE,breast cancer
2085,METFORMIN,breast cancer
2086,TAMOXIFEN,breast adenocarcinoma
2089,DOCETAXEL,inflammatory breast carcinoma
2090,TAMOXIFEN,male breast carcinoma
2092,DOXORUBICIN,breast adenocarcinoma
2095,FLUOROURACIL,breast cancer
2096,DOCETAXEL,breast adenocarcinoma
2099,PACLITAXEL,breast adenocarcinoma
2100,CYTARABINE,breast cancer
2102,PACLITAXEL,triple-negative breast cancer
2103,NIRAPARIB,Hereditary breast and ovarian cancer syndrome
2105,OLAPARIB,breast cancer
2106,IXABEPILONE,breast cancer
2110,LAPATINIB,breast cancer
2112,ENTINOSTAT,breast adenocarcinoma
2114,CELECOXIB,breast cancer
2118,DOXORUBICIN,inflammatory breast carcinoma
2123,ATEZOLIZUMAB,breast cancer
2125,ALDESLEUKIN,breast cancer
2126,NERATINIB,breast cancer
2127,VINFLUNINE,breast cancer
2131,PACLITAXEL,inflammatory breast carcinoma
2134,RIBOCICLIB,breast cancer
2137,IPATASERTIB,triple-negative breast cancer
2142,OCTREOTIDE,breast cancer
2143,ERIBULIN,breast adenocarcinoma
2145,TRASTUZUMAB,breast adenocarcinoma
2146,SORAFENIB,breast cancer
2147,TASELISIB,breast cancer
2152,BUPARLISIB,breast cancer
2155,FULVESTRANT,invasive breast ductal carcinoma
2160,LIDOCAINE,breast cancer
2165,PERTUZUMAB,breast adenocarcinoma
2169,METHOTREXATE,breast cancer
2170,ENTINOSTAT,breast cancer
2180,GEMCITABINE,triple-negative breast cancer
2181,CAPIVASERTIB,breast cancer
2182,PACLITAXEL,invasive breast ductal carcinoma
2191,MARIMASTAT,breast cancer
2196,DENOSUMAB,breast cancer
2202,DOXORUBICIN,triple-negative breast cancer
2210,TRASTUZUMAB,male breast carcinoma
2212,ASPIRIN,breast cancer
2218,RIVOCERANIB,breast cancer
2221,FILGRASTIM,triple-negative breast cancer
2223,CHOLECALCIFEROL,breast cancer
2225,VELIPARIB,breast cancer
2226,PEMBROLIZUMAB,breast cancer
2232,"ESTROGENS, CONJUGATED",breast cancer
2239,CYCLOSPORINE,breast cancer
2242,METOPROLOL,breast cancer
2246,TAMOXIFEN,breast carcinoma
2254,TRASTUZUMAB,inflammatory breast carcinoma
2263,PACLITAXEL,male breast carcinoma
2266,LETROZOLE,breast ductal carcinoma in situ
2268,ANASTROZOLE,invasive breast ductal carcinoma
2270,RAMUCIRUMAB,breast cancer
2271,DOXORUBICIN,breast carcinoma
2285,MELATONIN,breast cancer
2291,SARGRAMOSTIM,breast cancer
2294,PEMBROLIZUMAB,breast carcinoma in situ
2299,ATEZOLIZUMAB,triple-negative breast cancer
2300,ERGOCALCIFEROL,breast cancer
2312,TRASTUZUMAB,breast ductal carcinoma in situ
2313,FULVESTRANT,invasive lobular carcinoma
2317,INTERFERON GAMMA-1B,breast cancer
2330,IRINOTECAN,breast cancer
2335,CARMUSTINE,breast cancer
2337,BEVACIZUMAB,breast adenocarcinoma
2343,PERTUZUMAB,inflammatory breast carcinoma
2356,FLUOROURACIL,inflammatory breast carcinoma
2369,LETROZOLE,Hereditary breast and ovarian cancer syndrome
2374,ANASTROZOLE,breast adenocarcinoma
2375,PEGFILGRASTIM,triple-negative breast cancer
2377,GEFITINIB,breast cancer
2383,ATEZOLIZUMAB,invasive breast ductal carcinoma
2386,IPATASERTIB,breast cancer
2387,ATORVASTATIN,breast cancer
2390,TAMOXIFEN,breast ductal carcinoma in situ
2392,LAPATINIB,male breast carcinoma
2400,ESTRADIOL,breast cancer
2401,ETOPOSIDE,breast cancer
2403,TAMOXIFEN,inflammatory breast carcinoma
2404,ANASTROZOLE,breast ductal carcinoma in situ
2415,NIVOLUMAB,breast cancer
2418,LETROZOLE,breast adenocarcinoma
2421,ATEZOLIZUMAB,breast adenocarcinoma
2437,ANASTROZOLE,invasive lobular carcinoma
2453,PREDNISONE,breast cancer
2468,VORINOSTAT,breast cancer
2469,CARVEDILOL,breast cancer
2470,METFORMIN,breast carcinoma
2471,CABAZITAXEL,breast cancer
2472,DOCETAXEL,triple-negative breast cancer
2475,MIRVETUXIMAB SORAVTANSINE,breast carcinoma
2476,PEMETREXED,breast cancer
2477,SELUMETINIB,breast cancer
2478,PICTILISIB,breast cancer
2479,RUCAPARIB,breast cancer
2480,ARSENIC TRIOXIDE,breast cancer
2481,ESTRADIOL,breast carcinoma
2482,ANLOTINIB,breast cancer
2483,DOVITINIB,breast cancer
2484,PAZOPANIB,male breast carcinoma
2485,LUCITANIB,breast cancer
2486,TALAZOPARIB,breast cancer
2488,NINTEDANIB,breast cancer
2489,FLUDARABINE PHOSPHATE,breast cancer
2491,BMS-690514,breast cancer
2494,UPROSERTIB,breast carcinoma
2495,VINORELBINE,triple-negative breast cancer
2497,DASATINIB,breast cancer
2498,VENLAFAXINE,breast cancer
2499,PACLITAXEL POLIGLUMEX,breast cancer
2500,PAZOPANIB,breast cancer
2501,SUNITINIB,breast cancer
2502,CIXUTUMUMAB,breast carcinoma
2504,GEDATOLISIB,breast cancer
2508,SUNITINIB,male breast carcinoma
2509,SEVOFLURANE,breast cancer
2510,SAGOPILONE,breast cancer
2513,VANDETANIB,breast cancer
2514,PEGFILGRASTIM,breast carcinoma
2517,DOCETAXEL,Hereditary breast and ovarian cancer syndrome
2518,CABOZANTINIB,breast cancer
2524,ESTRADIOL,Hereditary breast and ovarian cancer syndrome
2525,METFORMIN,triple-negative breast cancer
2526,ERIBULIN,Hereditary breast and ovarian cancer syndrome
2528,ERLOTINIB,breast carcinoma
2530,ERIBULIN,male breast carcinoma
2531,PACLITAXEL,breast ductal adenocarcinoma
2535,OLAPARIB,breast carcinoma
2536,PEMBROLIZUMAB,breast carcinoma
2537,SAPITINIB,breast cancer
2540,AFATINIB,breast cancer
2542,TAMOXIFEN,Hereditary breast and ovarian cancer syndrome
2543,RUCAPARIB,Hereditary breast and ovarian cancer syndrome
2544,FORETINIB,breast cancer
2550,RUXOLITINIB,breast cancer
2557,DACTOLISIB,breast cancer
2563,ERIBULIN,triple-negative breast cancer
2567,PANOBINOSTAT,breast cancer
2568,COPANLISIB,breast cancer
2570,GANETESPIB,breast cancer
2574,PACLITAXEL,Hereditary breast and ovarian cancer syndrome
2579,LAPATINIB,breast ductal adenocarcinoma
2582,ENTINOSTAT,male breast carcinoma
2586,CEDIRANIB,breast carcinoma
2587,GEMCITABINE,male breast carcinoma
2591,IXABEPILONE,male breast carcinoma
2592,OMEPRAZOLE,breast carcinoma
2593,DURVALUMAB,breast cancer
2595,DEXAMETHASONE,breast cancer
2596,PROPRANOLOL,breast cancer
2603,CEDIRANIB,male breast carcinoma
2613,TANESPIMYCIN,breast cancer
2614,NALTREXONE,breast cancer
2615,ENMD-981693,breast cancer
2616,SORAFENIB,male breast carcinoma
2619,ENTRECTINIB,invasive lobular carcinoma
2620,APITOLISIB,breast cancer
2621,ERIBULIN,inflammatory breast carcinoma
2623,BOSUTINIB,breast cancer
2627,TRASTUZUMAB EMTANSINE,breast adenocarcinoma
2629,ENTINOSTAT,triple-negative breast cancer
2630,IMATINIB,male breast carcinoma
2632,THALIDOMIDE,breast cancer
2634,SUNITINIB,inflammatory breast carcinoma
2637,LINSITINIB,breast cancer
2643,SAMOTOLISIB,breast cancer
2644,IPILIMUMAB,breast cancer
2647,CARMUSTINE,breast carcinoma
2649,POZIOTINIB,breast cancer
2651,VELIPARIB,Hereditary breast and ovarian cancer syndrome
2653,SIMVASTATIN,breast carcinoma
2655,DENOSUMAB,breast carcinoma
2660,FILGRASTIM,inflammatory breast carcinoma
2664,DOCETAXEL,breast ductal carcinoma in situ
2667,ERLOTINIB,breast cancer
2675,PEMBROLIZUMAB,Hereditary breast and ovarian cancer syndrome
2676,PASIREOTIDE,breast cancer
2687,ADAVOSERTIB,breast cancer
2692,EPINEPHRINE,breast cancer
2693,AVELUMAB,breast cancer
2697,MK-2206,breast carcinoma
2700,HYDROXYCHLOROQUINE,breast cancer
2706,CAFFEINE,breast carcinoma
2708,TIVOZANIB,breast cancer
2710,PANITUMUMAB,breast cancer
2713,TALAZOPARIB,Hereditary breast and ovarian cancer syndrome
2720,MK-2206,breast cancer
2722,MIDAZOLAM,breast cancer
2725,LENVATINIB,salivary duct carcinoma
2730,BEVACIZUMAB,male breast carcinoma
2731,CHOLECALCIFEROL,Hereditary breast and ovarian cancer syndrome
2736,DIGOXIN,breast cancer
2738,TREMELIMUMAB,breast carcinoma
2753,ROSUVASTATIN,breast cancer
2755,VINORELBINE,male breast carcinoma
2763,FULVESTRANT,breast ductal carcinoma in situ
2770,SIMVASTATIN,breast cancer
2780,ROMIDEPSIN,male breast carcinoma
2786,VISTUSERTIB,breast cancer
2809,SIROLIMUS,breast cancer
2810,DEXAMETHASONE,breast carcinoma
2815,PEMBROLIZUMAB,inflammatory breast carcinoma
2817,LINIFANIB,breast cancer
2819,CAPECITABINE,triple-negative breast cancer
2820,TIPIFARNIB,breast cancer
2821,MOTESANIB,breast cancer
2828,TALAZOPARIB,triple-negative breast cancer
2832,ACETAMINOPHEN,breast cancer
2835,DENOSUMAB,inflammatory breast carcinoma
2836,VELIPARIB,triple-negative breast cancer
2837,RIVOCERANIB,triple-negative breast cancer
2838,COBIMETINIB,breast cancer
2839,DECITABINE,breast adenocarcinoma
2843,MIFEPRISTONE,breast cancer
2855,COBIMETINIB,inflammatory breast carcinoma
2863,VORINOSTAT,male breast carcinoma
2869,ATEZOLIZUMAB,inflammatory breast carcinoma
2876,ALDESLEUKIN,inflammatory breast carcinoma
2878,DURVALUMAB,breast carcinoma
2889,SARGRAMOSTIM,breast carcinoma
2903,ALDESLEUKIN,male breast carcinoma
2907,ATROPINE,breast cancer
2913,RUXOLITINIB,inflammatory breast carcinoma
2917,CETUXIMAB,breast cancer
2918,TRASTUZUMAB,salivary duct carcinoma
2924,BINIMETINIB,breast carcinoma
2937,RETASPIMYCIN,breast carcinoma
2944,PEGFILGRASTIM,male breast carcinoma
2948,PANITUMUMAB,breast carcinoma
2954,SARACATINIB,male breast carcinoma
2959,BORTEZOMIB,breast cancer
