Disease,Gene_list
JAPANESE ENCEPHALITIS,"['TNF', 'CCR2', 'CCR5', 'ICAM1', 'IFNB1', 'CD209', 'CCL5', 'CCL2', 'MIR15B', 'SPCS1', 'IL1B', 'HSPA5', 'STING1', 'CAPRIN1', 'IFNG', 'IFIT2', 'CLEC5A', 'HSPA4', 'RSAD2', 'DDX42', 'MIR301A', 'TLR3', 'MIR432', 'CCL3', 'STAT1', 'RNF125', 'ZC3H12A', 'HM13', 'ERVK-6', 'ERVK-32', 'RAF1', 'IFIT1', 'IVNS1ABP', 'TLR7', 'PTPN11', 'CYP2A6', 'AMFR', 'IL2', 'ERVK-20', 'EDN1', 'CSF2', 'ERVW-1', 'SOD1', '404721', 'IL6', 'GRIA3', 'NLRP3', 'DDX58', 'CHI3L1', 'IFNA1', 'IFNA13', 'CX3CL1']"
LANDAU-KLEFFNER SYNDROME,"['GRIN2A', 'KCNQ2']"
GRANULOMATOSIS WITH POLYANGIITIS,"['PRTN3', 'MPO', 'SERPINA1', 'CTLA4', 'FCGR3B', 'F2RL1', 'HLA-DPB1', 'HLA-DRB1', 'PTPN22', 'IL10', 'CCR5', 'TNF', 'CD177', 'WG', 'CCR4', 'COL11A2', 'IL4', 'IL1B', 'SEMA6A', 'RXRB', 'ACE', 'BPI', 'NOD2', 'MMP2', 'TLR9', 'HLA-DPA1', 'GYPA', 'ACR', 'KRT20', 'MS4A1', 'CD28', 'ANP32B', 'CD226', 'CD14', 'RBM45', 'CRP', 'ETS1', 'ITGAM', 'FCGR3A', 'IFNG']"
CHILDHOOD ABSENCE EPILEPSY,"['GABRG2', 'ECA1', 'CACNA1H', 'CACNA1G', 'JRK', 'GABBR1', 'KHDRBS3', 'CLCN2', 'CACNG3', 'LGI4', 'KCNJ10', 'SCN1B', 'SCN1A', 'GABRB3', 'CACNA1A', 'SLC2A1', 'GABRA1', 'CACNA2D2', 'GLUD1', 'NIPA2', 'SCN8A', 'KCNK9', 'CACNA1I', 'CACNG2', 'EGI', 'CACNB4', 'MEF2C', 'ABCB1', 'OPRM1', 'CACNG4', 'UBE3A', 'EFHC1', 'EPM2A', 'HCN1', 'NPY', 'PCDH19', 'HTR7', 'LGI1', 'MMP9', 'NPY1R', 'NPY2R', 'NPY5R', 'PRRT2']"
REFLEX EPILEPSY,"['GRM4', 'TRPC4', 'ALDH5A1', 'GLRB', 'ABAT', 'LGI1', 'NEDD4L', 'FCMTE2', 'MSD', 'ARHGEF9', 'CHD2', 'KCNJ10']"
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY,"['SCN1A', 'SLC2A1', 'KCNQ2', 'SIK1', 'STXBP1', 'SPTAN1', 'SLC25A22', 'CDKL5', 'PCDH19', 'SCN2A', 'SCN8A', 'KCNJ11', 'ARX', 'WDR45', 'SLC9A6', 'FOXG1', 'TBC1D24', 'SLC13A5', 'POLG', 'ERBB4', 'GRIN2A', 'PLPBP', 'RARS2', 'KCNT1', 'GABRG2', 'ALDH7A1', 'KCNB1', 'SIK1B', 'SCN1B', 'ATP1A3', 'GNAO1', 'LOC109610631', 'PRRT2', 'NEXMIF', 'HAX1']"
CHURG-STRAUSS SYNDROME,"['MPO', 'PRTN3', 'HLA-DRB1', 'CCL26', 'HLA-DRB4', 'IL5', 'CCL17', 'FAS', 'LEP', 'LEPR', 'RNASE3', 'IL10', 'ITGB2', 'PTPN22', 'IL25', 'TRB', 'CD226', 'WG']"
ADRENOMYELONEUROPATHY,"['ABCD1', 'ABCD3', 'ABCD4', 'ABCD2', 'ACSBG1', 'SOD2', 'BCAP31', 'SLC27A2', 'PEX1', 'PEX26', 'PEX13', 'HSD17B4', 'SLC27A5', 'PEX6', 'AMN', 'STAT3', 'TGFB1', 'ELOVL1', 'ABCD1P1', 'ACOX1', 'ACAA1', 'ABCD1P2', 'ABCD1P3', 'PEX19', 'ABCD1P4', 'PEX5', 'SLC27A6', 'PHYH', 'L1CAM', 'PEX10', 'AGPS', 'PEX12', 'CD1A', 'ABCC2', 'CD1B', 'CD1C', 'CD1D', 'PEX3', 'ACSBG2', 'IDH3G', 'IDI1', 'MTR']"
FRAGILE X SYNDROME,"['FMR1', 'FRAXA', 'AFF2', 'FRAXE', 'FXR1', 'FXR2', 'GRM5', 'MECP2', 'NUFIP2', 'CGGBP1', 'CYFIP1', 'CYFIP2', 'TMEM185A', 'NUFIP1', 'GRIA2', 'RAC1', 'ATXN1', 'FXN', 'AFF4', 'GRM1', 'BRCA2', 'BDNF', 'PTPN5', 'IDS', 'FMR1-AS1', 'MLH1', 'DICER1', 'FRA10B', 'MAOA', 'PIK3CG', 'ATN1', 'APOA1', 'NOVA2', 'IL1RAPL1', 'EEF1A1', 'TSPAN7', 'LMNA', 'DMPK', 'MRXS11', 'IL6', 'ADCY1', 'DLG4', 'MRX4', 'BRCA1', 'SLC6A8', 'HTT', 'MRX26', 'MED12', 'NRXN1', 'ARX', 'ATXN8OS', 'SLC6A4', 'FRA16A', 'NRF1', 'FRA2A', 'TWIST1']"
RETT SYNDROME,"['FOXG1', 'MECP2', 'CDKL5', 'UBE3A', 'MBD1', 'BDNF', 'MBD5', 'NTNG1', 'DLX5', 'MEF2C', 'MBD6', 'SLC12A5', 'STXBP1', 'GPM6B', 'SIN3A', 'PRPF40A', 'PCDH19', 'MBD2', 'CXXC1', 'WDR45', 'GABRA3', 'GLUD2', 'GLRA2', 'IGFBP3', 'IQSEC2', 'DNMT1', 'ARX', 'IRAK1', 'TCF4', 'SHANK3', 'APOE', 'SCARB1', 'VEGFA', 'GABRB3', 'ARSD', 'CDKL4', 'TBL1XR1', 'L1CAM', 'SMC1A']"
WILSON,"['ATP7B', 'ATP7A', 'ATOX1', 'COMMD1', 'PNOC', 'ESD', 'CP', 'SLC31A1', 'CCS', 'APOE', 'HMGCR', 'A2M', 'TP53', 'CLU', 'POLB', 'PRNP', 'HBD', 'ATP10D', 'SLC39A8', 'SLC31A2', 'ZEB2', 'MAGEA11', 'BANF1', 'AR', 'ANXA5', 'HBA1', 'EMD', 'APEX1', 'GCKR', 'LYPLAL1', 'HBG2', 'HBG1', 'HBA2', 'RSPO3', 'ITPK1', 'COBLL1', 'HNRNPD', 'CENPW', 'CR1', 'GLIS3', 'TRIB1', 'PTPN22', 'SUOX', 'CDKAL1', 'LOC157273', 'LOC101928635', 'ABCB5', 'AHCY', 'SLC30A8', 'FPGT-TNNI3K', 'CAND1.11', 'FADS1', 'PPP1R3B', 'JAZF1', 'C5ORF67', 'IL6', 'TCF7L2', 'AFF3', 'ADCY5', 'IGF2BP2', 'HHIP-AS1', 'ANKRD55', 'LOX', 'MIR193BHG', 'EXO1', 'HCFC1', 'TMEM38B', 'VPS13C', 'CLCN4', 'C2CD4A', 'TNF', 'FTO', 'BACH2', 'RBFOX1', 'PLCL1', 'ALMS1', 'HPRT1', 'CD1B', 'IL10', 'ZMIZ1', 'TNNI3K', 'GALNT2', 'TNFRSF11B', 'FNDC3B', 'HNF1A', 'LOXL2', 'SLC2A4RG', 'FADS3', 'ABO', 'DLEU7', 'FADS2', 'TMEM176A', 'MLXIPL', 'NXF1', 'SMOX', 'MRTFB', 'LIN28B', 'FNDC4', 'CXCL8', 'LOC101929710', 'HHIP', 'CADM2', 'SBNO1', 'FANCG', 'ASMT', 'CD4', 'PRDM11', 'C14ORF39', 'FANCD2', 'LINGO2', 'IL19', 'NDUFB7', 'ZNF469', 'LOC110599567', 'PROX1-AS1', 'ZNF831', 'KLF14', 'KLF12', 'ERCC6', 'SDHAF2', 'CELSR2', 'ARL15', 'NEGR1', 'GNPDA2', 'TMEM18', 'MMEL1', 'PPP3CA', 'STARD3NL', 'MAMSTR', 'LINC02875', 'DNAH11', 'IDS', 'ADCY3', 'PPP3CB', 'DNM3', 'DUSP9', 'GATD3A', 'PDE3A', 'DYT4', 'NOD2', 'CCDC170', 'SORT1', 'ANKS1B', 'JMJD1C', 'CNTNAP2', 'MSH6', 'TTTY5', 'PKN2-AS1', 'TOX', 'HAMP', 'ILRUN', 'IRF1-AS1', 'ADAMTS9-AS2', 'SLC35F1', 'GIPR', 'LOC109623491', 'BHMT', 'DGKB', 'CMIP', 'NCOA2', 'HPR', 'TMEM163', 'ZNF664-RFLNA', 'HHEX', 'SNCA', 'SEC16B', 'CCNL1', 'ATP8B1', 'PTGFR', 'APTX', 'APOC2', 'MSH3', 'TIMP1', 'TAGAP', 'RGS14', 'LEKR1', 'ZPBP', 'NMUR1', 'ZNF483', 'CAMK2A', 'HBB', 'PARK7', 'CD19', 'APP', 'LIPC', 'FAM13A', 'DNAH10', 'DNAJC27', 'TRIM66', 'FANCA', 'IGFBP7', 'LRP1B', 'WNT16', 'CYP27B1', 'IL2RA', 'SLC2A13', 'ATP8A1', 'C2CD4B', 'SLC12A9', 'FRMD5', 'ARAP1', 'PDE3B', 'LOC102724957', 'CXORF65', 'ZKSCAN8P1', 'FUT2', 'TSBP1', 'DCDC1', 'SMPD1', 'INAVA', 'FKBP4', 'LOC108004539', 'LILRA3', 'LOC106780800', 'MACIR', 'TOMM40', 'ORMDL3', 'FCRLA', 'CEP85L', 'UHRF1BP1', 'ZNF664', 'FBXO15', 'LPL', 'MTNR1B']"
GAUCHER  TYPE 2,"['GBA', 'PSAP', 'CHIT1', 'THBS3', 'GLA', 'GBAP1', 'ACP5', 'CD163', 'SMPD1', 'LOC106627981', '79010', 'LOC106627982', 'GBAP', 'SNCA', 'SCARB2', 'MTX1', 'GBA2', 'MTX1P', 'SCAMP3', 'C1ORF2']"
X-LINKED ADRENOLEUKODYSTROPHY,"['ABCD3', 'ABCD4', 'ABCD2', 'ABCD1', 'ACSBG1', 'PEX1', 'SOD2', 'PEX13', 'SLC27A2', 'BCAP31', 'PEX26', 'HSD17B4', 'SLC27A5', 'PEX6', 'AMN', 'ACOX1', 'ELOVL1', 'STAT3', 'ABCD1P1', 'TGFB1', 'PEX19', 'ACAA1', 'PEX5', 'ABCD1P2', 'SLC27A6', 'ABCD1P3', 'ABCD1P4', 'PEX3', 'PHYH', 'L1CAM', 'PEX10', 'PEX12', 'AGPS', 'ABCC2', 'CD1A', 'CD1B', 'EHHADH', 'CD1C', 'PPARG', 'CD1D', 'PEX16', 'ACSBG2', 'IDH3G', 'IDI1', 'MTR', 'IFNG', 'HMOX1', 'ABCB6', 'CYP2E1', 'TNF', 'TLR4', 'PNPLA3', 'CD14', 'ABCG2', 'MTRR', 'GALC', 'IL10', 'IL1B', 'IL6', 'NFE2L2', 'TM6SF2', 'HAMP', 'AKR1A1', 'ALDH2', 'SIRT1', 'AKR1B1P2', 'ABCA4', 'GABPA', 'GPT', 'CBWD1', 'HFE', 'MIR122', 'MOG', 'BCL2', 'ACTB', 'ADH1C', 'AMACR', 'SLCO6A1', 'COX8A', 'CTNNB1', 'ELANE', 'GLB1', 'GSTM1', 'GSTP1', 'ANXA2', 'HMGB1', 'TRIM37', 'IGF1', 'APRT', 'IL1A', 'GSTK1', 'LBP', 'MIR34A', 'MFAP1', 'PALM2']"
EPILEPSY,"['GABRG2', 'GABRA1', 'GABRB3', 'CLN8', 'SCN1A', 'KCNQ2', 'LGI1', 'SCN1B', 'KCNQ3', 'ARX', 'CHRNB2', 'KCNJ10', 'EFHC1', 'TSC1', 'CLCN2', 'CYP2C9', 'POLG', 'SCN3A', 'CHRNA4', 'SLC2A1', 'CSTB', 'TSC2', 'HCN2', 'GABRB2', 'CHRNA2', 'CACNA1A', 'DCX', 'KCNJ11', 'ATP1A2', 'PCDH19', 'SCN2A', 'ABCB1', 'FLNA', 'CDKL5', 'ARHGEF9', 'STXBP1', 'SCN8A', 'GABBR1', 'ABCC2', 'EPM2A', 'UGT2B7', 'SLC1A2', 'CACNA1H', 'ALDH7A1', 'GRIN2A', 'HCN1', 'CNTNAP2', 'GABRD', 'GRIA2', 'KCNT1', 'CACNB4', 'CYP2C19', 'MECP2', 'TBC1D24', 'FOXG1', 'SV2A', 'LGI4', 'SYN2', 'PNPO', 'UGT1A4', 'LGI2', 'MEF2C', 'CACNA1G', 'CHRNA7', 'SYNGAP1', 'EPHX1', 'BRD2', 'CHD2', 'RELN', 'KCNA2', 'GRIN2B', 'PDYN', 'SLC9A6', 'SYN1', 'SMC1A', 'ZEB2', 'GABRA6', 'TPP1', 'MVP', 'KCTD7', 'GRM1', 'IQSEC2', 'MBD5', 'NHLRC1', 'UGT1A6', 'HTR1A', 'PHF6', 'SLC12A5', 'KCNA1', 'EJM2', 'PRRT2', 'BDNF', 'SLC6A11', 'GLUL', 'IL1B', 'ATXN10', 'GABRA3', 'MTHFR', 'STX1B', 'DEPDC5', 'PRNP', 'ABCC1', 'PIGQ', 'GRIK2', 'NRXN1', 'KCNQ5', 'ATP1A3', 'IL6', 'OPRM1', 'GRIA3', 'TNF', 'GNAO1', 'ALDH5A1', 'GABRR2', 'TRNK', 'PTGS2', 'IL10', 'RBFOX1', 'APOE', 'GRIN1', 'ALG13', 'SLC13A5', 'MTOR', 'SLC6A1', 'ADK', 'JRK', 'KCNH2', 'ATN1', 'CAMSAP2', 'GABRA2', 'BRAT1', 'SLC1A1', 'ELP4', 'NPRL3', 'GRM2', 'PRICKLE1', 'CLCN4', 'GABRB1', 'REST', 'EEF1A2', 'STX1A', 'CACNG2', 'SRPX2', 'IL1A', 'KCNB1', 'DLGAP2', 'UBE3A', 'PLPBP', 'KDM5C', 'KCND2', 'MIR146A', 'CLU', 'GLRB', 'PIGA', 'CACNG3', 'NFE2L2', 'GLUD1', 'VRK2', 'KCNMB4', 'ECM1', 'ABAT', 'SHANK3', 'PIGN', 'ADORA1', 'AKT3', 'SLC6A3', 'NPRL2', 'IL4', 'OPHN1', 'ADARB1', 'EIF2S3', 'ME2', 'PLCB1', 'PVALB', 'GJD2', 'AQP4', 'SCN5A', 'SV2C', 'SYT1', 'KCNQ1', 'FEB1', 'SV2B', 'GAD1', 'SP1', 'KCNMB3', 'VAMP2', 'TRAPPC10', 'NIPA2', 'CYFIP1', 'SLC12A6', 'IER3IP1', 'CLCN7', 'ND5', 'PAX6', 'GABRE', 'KCNQ4', 'CHRFAM7A', 'HLA-B', 'NR1I2', 'SCN9A', 'GRIA1', 'CYP2A6', 'MTR', 'SNAP25', 'KRIT1', 'ABCG2', 'GPX1', 'IDH1', 'CYP3A4', 'CACNA2D2', 'CYP3A5', 'SOD2', 'NPY', 'TGFB1', 'SLC6A4', 'CYP2D6', 'TLR4', 'ZDHHC9', 'RARS2', 'ECA1', 'VDR', 'WDR45', 'NTRK2', 'NEXMIF', 'ACHE', 'GFAP', 'CYP2B6', 'PTEN', 'BRAF', 'SLC6A8', 'ROGDI', 'GRM3', 'RALBP1', 'GSTM1', 'CPA6', 'SLC22A1', 'ADAM22', 'IDH2', 'TAP1', 'DBH', 'L2HGDH', 'GRM4', 'SCARB2', 'GPR98', 'DRD2', 'TRNL1', 'CREB1', 'COMT', 'EGI', 'PIK3CA', 'LEP', 'GABBR2', 'LGI3', 'NDP', 'P2RX7', 'PRICKLE2', 'SLC35A2', 'PPIG', 'PAFAH1B1', 'PTPRD', 'HLA-A', 'SCN2B', 'SLC16A1', 'CYP1A1', 'CYP1A2', 'KCNH5', 'PSEN1', 'GPHN', 'RORB', 'ECT', 'ICCA', 'KCNC1', 'SCN1A-AS1', 'FARS2', 'KCNH1', 'SLCO2B1', 'ADGRV1', 'HNF4A', 'GABARAP', 'SERPINI1', 'PCMT1', 'SZT2', 'SLC4A10', 'SGCE', 'DLG3', 'AKT1', 'CHRM3', 'CLOCK', 'BAD', 'GSTT1', 'F2', 'CACNA1D', 'GABRA4', 'GABRA5', 'PDPK1', 'CCL2', 'ST3GAL5', 'CALHM1', 'SUCLA2', 'HNRNPU', 'IL1RN', 'GAL', 'KHDRBS3', 'ABCB6', 'RORA', 'RTN4', 'KRAS', 'C12ORF57', 'PRL', 'GAD2', 'DAPK1', 'FMR1', 'CHRNA6', 'LETM1', 'OTX1', 'NEDD4L', 'KCNIP3', 'NARS2', 'FGF13', 'SOD1', 'SMS', 'HAX1', 'TOMM40', 'ADSL', 'ABCC5', 'EFHC2', 'ADAM10', 'FRRS1L', 'HTR2C', 'CLCN1', 'TRPM2', 'UGT1A', 'AGER', 'KCNK9', 'LIAS', 'ADAM23', 'HIF1A', 'EPM2AIP1', 'STRADA', 'PPARG', 'ARSD', 'SCN3B', 'ESR1', 'CALB2', 'MMP9', 'NIPA1', 'MICA', 'KCNMA1', 'UBA5', 'COX2', 'SLC35A3', 'AP3M2', 'ATP6', 'CDX2', 'CHRNA3', 'ADORA2A', 'CALB1', 'COL1A1', 'TRPM6', 'AGTR2', 'PHOX2A', 'NRG1', 'APP', 'CACNA2D1', 'NNMT', 'VARS2', 'PCDH7', 'ATRX', 'ACP1', 'UGT1A9', 'KCNAB1', 'ASAH1', 'FCMTE2', 'CAT', 'PPR1', 'GBA', 'FN1', 'SLC16A7', 'IGHE', 'ATP6AP2', 'DRD4', 'FGFR1', 'NRXN3', 'COX1', 'CACNA1C', 'BAG6', 'AGTR1', 'TNFSF10', 'PHOX2B', 'SMG6', 'CASP8', 'KEAP1', 'KCNV2', 'UGT1A3', 'CUL4B', 'AFF2', 'EGFR', 'IDO1', 'PRKCB', 'GAB2', 'PRKCD', 'ZFYVE26', 'FTSJ1', 'SPG11', 'SLC7A3', 'CD36', 'MEHMO', 'MAPK10', 'NGFR', 'LAMA2', 'SCN7A', 'SHMT1', 'CLN5', 'DEAF1', 'PIGT', 'MAPK8IP3', 'GLI3', 'GC', 'GLO1', 'TSPEAR', 'UCP2', 'TERT', 'NUS1', 'MAPK8', 'HTR2A', 'ANK2', 'HIP1', 'CCM2', 'SLC25A22', 'PHGDH', 'TRPC4', 'GLRA1', 'FCMTE1', 'IDS', 'MIR149', 'IFNG', 'LEPR', 'MTRR', 'CYTB', 'MTHFD1', 'KCNJ6', 'CACNA1E', 'INSR', 'FOXI1', 'ALG3', 'SOX8', 'MFSD8']"
GANGLIOSIDOSIS,"['GLB1', 'HEXA', 'HEXB', 'GM2A', 'CTSA', 'NEU1', 'B4GALNT1', 'GALNS', 'PSAP', 'LY96', 'HHEX', 'GALC', 'NEU2', 'GM2AP', 'IDUA', 'EGFR', 'TPP1', 'SLC17A5', 'GUSB', 'OGA', 'NEU3', 'NOS1', 'SMPD1', 'TP53', 'NPM1', 'FYN', 'PMP22', 'POLR2A', 'S100A7', 'NTSR1', 'FMR1', 'CDKN2A', 'CD1B', 'APRT', 'PAX8', 'VAV1', 'CD99', 'ARSB', 'TF', 'PHKA1', 'PHKA2', 'PHKB', 'NAGLU', 'CLN3', 'SLC36A1']"
BEHCET SYNDROME,"['TNF', 'HLA-B', 'MICA', 'F5', 'F2', 'NOS3', 'HLA-A', 'ICAM1', 'ENO1', 'CCR5', 'NOD2', 'PROZ', 'MICB', 'MEFV', 'IL23R', 'ERAP1', 'IL12RB2', 'IL10', 'TLR2', 'CTLA4', 'STAT4', 'IL17A', 'KLRC4', 'IL23A', 'SUMO4', 'CCR1', 'UBAC2', 'TLR4', 'MTHFR', 'ITGAX', 'IL17F', 'IL37', 'IL33', 'TNFSF13B', 'CPB2', 'CCR3', 'PTPN22', 'IFNG', 'IL18', 'TRIM39', 'IL2', 'IL12A', 'IL15RA', 'IL27', 'CXCR2', 'MVK', 'TREM1', 'HLA-E', 'MMP9', 'TIRAP', 'TNFRSF1A', 'DEFA1', 'NLRP3', 'KIR3DS1', 'TGFBR3', 'TNFRSF1B', 'RORC', 'IL12A-AS1', 'ACE', 'HLA-C', 'CYP1A1', 'IL1B', 'ITGA2', 'THBD', 'CCR4', 'TNFAIP3', 'MIF', 'KIR3DL1', 'MBL2', 'HNRNPA2B1', 'IL22', 'FAS', 'APOH', 'SELL', 'HLA-DRB1', 'JAK1', 'IL12B', 'PROCR', 'NGF', 'SLC11A1', 'YIPF7', 'DEFB4A', 'SELE', 'FASLG', 'SOD1', 'SAG', 'DEFB104B', 'CCL21', 'TNFSF13']"
COLON MUCINOUS ADENOCARCINOMA,"['KRAS', 'CHST4', 'MLH1', 'MUC2', 'BRAF', 'MSH2', 'ATOH1', 'REG4', 'LGALS3', 'PMS2', 'MUC5AC', 'GAL3ST2', 'NRAS', 'YPEL3', 'NEUROG1', 'DEF6']"
APPENDIX CANCER,"['SATB2', 'GNAS', 'KRAS', 'TWIST1', 'CLCA1', 'CTNNB1', 'MUC2', 'MUC16', 'KDR', 'SMAD4', 'NKX6-1', 'GUCY2C', 'CDH17']"
SMALL INTESTINAL ADENOCARCINOMA,"['MUC5AC', 'MUC2', 'KRAS', 'CTNNB1', 'ERBB2', 'MLH1', 'CDKN2A', 'TP53', 'MUC1', 'APC', 'BRAF', 'PIK3CA', 'CDX2', 'EGFR', 'LGR5', 'KRT20', 'REG4', 'GNAS', 'MSI1', 'KRT7', 'TM4SF4', 'SLC29A1', 'MUC8', 'MRC1', 'IPMK', 'FGFR3', 'CDH17', 'REG3A', 'VIL1', 'GPBAR1', 'ARID2', 'SLC15A1', 'SMUG1', 'SATB2', 'GCRG224', 'FUT1', 'HPGDS', 'VIPR1']"
ANAL SQUAMOUS CELL CARCINOMA,"['TP53', 'CDKN2A', 'PIK3CA', 'PLK3', 'KRAS', 'H3P10', 'SMUG1', 'NF1', 'DCC', 'CD274', 'APC', 'ZNF331', 'SALL1', 'PIK3CB', 'DSC1', 'PIK3CD', 'TRAF6', 'PIK3CG', 'AGRP', 'AKT1']"
AMPULLA OF VATER ADENOCARCINOMA,"['KRAS', 'CDX2', 'MUC5AC', 'EGFR', 'VHL', 'SLC29A1', 'CPQ', 'BRAF', 'MUC1', 'PIK3CA', 'GNAS', 'KIT', 'SPOCK1', 'MIR21', 'GPBAR1', 'ELF3', 'EPHA3', 'PDGFRA']"
ANAL CARCINOMA,"['TP53', 'CDKN2A', 'PIK3CA', 'EGFR', 'KRAS', 'MCM2', 'BRAF', 'IFNB1', 'SMUG1', 'NF1', 'GPC3', 'AFP', 'PIK3CB', 'PIK3CD', 'CHKA', 'PIK3CG', 'SALL1', 'KIT', 'H3P10', 'CEACAM5', 'AZIN2', 'ZNF582', 'TRAF6', 'DCC', 'ELF3', 'MIR658', 'FHIT', 'ARC']"
