Disease,Disease ID,Drug,Drug ID,Type,Mechanism of action,Action type,Activity,Target,Target ID,Target class
ALZHEIMER,EFO_0000249,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE 8 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP8,ENSG00000118113,METALLO PROTEASE M10A SUBFAMILY
ALZHEIMER,EFO_0000249,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE-1 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP1,ENSG00000196611,METALLO PROTEASE M10A SUBFAMILY
ALZHEIMER,EFO_0000249,ROSIGLITAZONE,CHEMBL121,SMALL MOLECULE,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA AGONIST,AGONIST,POSITIVE MODULATOR,PPARG,ENSG00000132170,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP C MEMBER 3
ALZHEIMER,EFO_0000249,INDOMETHACIN,CHEMBL6,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS2,ENSG00000073756,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,ATORVASTATIN,CHEMBL1487,SMALL MOLECULE,HMG-COA REDUCTASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,HMGCR,ENSG00000113161,OXIDOREDUCTASE
ALZHEIMER,EFO_0000249,"ESTROGENS, CONJUGATED",CHEMBL1201649,SMALL MOLECULE,ESTROGEN RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,ESR2,ENSG00000140009,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP A MEMBER 1
ALZHEIMER,EFO_0000249,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE 7 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP7,ENSG00000137673,METALLO PROTEASE M10A SUBFAMILY
ALZHEIMER,EFO_0000249,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE 13 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP13,ENSG00000137745,METALLO PROTEASE M10A SUBFAMILY
ALZHEIMER,EFO_0000249,MASITINIB,CHEMBL1908391,SMALL MOLECULE,PLATELET-DERIVED GROWTH FACTOR RECEPTOR INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDGFRA,ENSG00000134853,TYROSINE PROTEIN KINASE PDGFR FAMILY
ALZHEIMER,EFO_0000249,ARIPIPRAZOLE,CHEMBL1112,SMALL MOLECULE,SEROTONIN 1A (5-HT1A) RECEPTOR PARTIAL AGONIST,PARTIAL AGONIST,POSITIVE MODULATOR,HTR1A,ENSG00000178394,SEROTONIN RECEPTOR
ALZHEIMER,EFO_0000249,MASITINIB,CHEMBL1908391,SMALL MOLECULE,STEM CELL GROWTH FACTOR RECEPTOR INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,KIT,ENSG00000157404,TYROSINE PROTEIN KINASE PDGFR FAMILY
ALZHEIMER,EFO_0000249,ERGOCALCIFEROL,CHEMBL1536,SMALL MOLECULE,VITAMIN D RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,VDR,ENSG00000111424,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP I MEMBER 1
ALZHEIMER,EFO_0000249,PREDNISONE,CHEMBL635,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
ALZHEIMER,EFO_0000249,CAFFEINE,CHEMBL113,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA2B,ENSG00000170425,ADENOSINE RECEPTOR
ALZHEIMER,EFO_0000249,MASITINIB,CHEMBL1908391,SMALL MOLECULE,FIBROBLAST GROWTH FACTOR RECEPTOR 3 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,FGFR3,ENSG00000068078,TYROSINE PROTEIN KINASE FGFR FAMILY
ALZHEIMER,EFO_0000249,CAFFEINE,CHEMBL113,SMALL MOLECULE,ADENOSINE RECEPTOR ANTAGONIST,ANTAGONIST,NEGATIVE MODULATOR,ADORA1,ENSG00000163485,ADENOSINE RECEPTOR
ALZHEIMER,EFO_0000249,LEVETIRACETAM,CHEMBL1286,SMALL MOLECULE,SYNAPTIC VESICLE GLYCOPROTEIN 2A MODULATOR,MODULATOR,OTHER,SV2A,ENSG00000159164,VESICULAR NEUROTRANSMITTER TRANSPORTER FAMILY
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRA,ENSG00000186350,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RARB,ENSG00000077092,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN2A,ENSG00000136531,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,LEVETIRACETAM,CHEMBL1286,SMALL MOLECULE,VOLTAGE-GATED N-TYPE CALCIUM CHANNEL ALPHA-1B SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,CACNA1B,ENSG00000148408,VOLTAGE-GATED CALCIUM CHANNEL
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN7A,ENSG00000136546,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,THALIDOMIDE,CHEMBL468,SMALL MOLECULE,CRL4(CRBN) E3 UBIQUITIN LIGASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,CRBN,ENSG00000113851,UNCLASSIFIED PROTEIN
ALZHEIMER,EFO_0000249,SARGRAMOSTIM,CHEMBL1201670,PROTEIN,GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,CSF2RA,ENSG00000198223,MEMBRANE RECEPTOR
ALZHEIMER,EFO_0000249,BEXAROTENE,CHEMBL1023,SMALL MOLECULE,RETINOID X RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRB,ENSG00000204231,NUCLEAR HORMONE RECEPTOR SUBFAMILY 2 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN8A,ENSG00000196876,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,THALIDOMIDE,CHEMBL468,SMALL MOLECULE,CRL4(CRBN) E3 UBIQUITIN LIGASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,CUL4A,ENSG00000139842,UNCLASSIFIED PROTEIN
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RARG,ENSG00000172819,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRG,ENSG00000143171,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN5A,ENSG00000183873,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN1A,ENSG00000144285,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN9A,ENSG00000169432,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,ETANERCEPT,CHEMBL1201572,PROTEIN,TNF-ALPHA INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,TNF,ENSG00000232810,SECRETED PROTEIN
ALZHEIMER,EFO_0000249,BEXAROTENE,CHEMBL1023,SMALL MOLECULE,RETINOID X RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRA,ENSG00000186350,NUCLEAR HORMONE RECEPTOR SUBFAMILY 2 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,THALIDOMIDE,CHEMBL468,SMALL MOLECULE,CRL4(CRBN) E3 UBIQUITIN LIGASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,DDB1,ENSG00000167986,UNCLASSIFIED PROTEIN
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRB,ENSG00000204231,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,BEXAROTENE,CHEMBL1023,SMALL MOLECULE,RETINOID X RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RXRG,ENSG00000143171,NUCLEAR HORMONE RECEPTOR SUBFAMILY 2 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,LITHIUM CARBONATE,CHEMBL1200826,SMALL MOLECULE,GLYCOGEN SYNTHASE KINASE-3 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,GSK3B,ENSG00000082701,CMGC PROTEIN KINASE GSK FAMILY
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN4A,ENSG00000007314,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,LITHIUM CARBONATE,CHEMBL1200826,SMALL MOLECULE,GLYCOGEN SYNTHASE KINASE-3 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,GSK3A,ENSG00000105723,CMGC PROTEIN KINASE GSK FAMILY
ALZHEIMER,EFO_0000249,ACITRETIN,CHEMBL1131,SMALL MOLECULE,RETINOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,RARA,ENSG00000131759,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP B MEMBER 1
ALZHEIMER,EFO_0000249,LITHIUM CARBONATE,CHEMBL1200826,SMALL MOLECULE,INOSITOL-1(OR 4)-MONOPHOSPHATASE 1 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,IMPA1,ENSG00000133731,HYDROLASE
ALZHEIMER,EFO_0000249,RILUZOLE,CHEMBL744,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN10A,ENSG00000185313,VOLTAGE-GATED SODIUM CHANNEL
ALZHEIMER,EFO_0000249,THALIDOMIDE,CHEMBL468,SMALL MOLECULE,CRL4(CRBN) E3 UBIQUITIN LIGASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,RBX1,ENSG00000100387,UNCLASSIFIED PROTEIN
ALZHEIMER,EFO_0000249,PIOGLITAZONE,CHEMBL595,SMALL MOLECULE,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA AGONIST,AGONIST,POSITIVE MODULATOR,PPARG,ENSG00000132170,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP C MEMBER 3
ALZHEIMER,EFO_0000249,MIDAZOLAM,CHEMBL655,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRA1,ENSG00000022355,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,MIDAZOLAM,CHEMBL655,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRG1,ENSG00000163285,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,BREXANOLONE,CHEMBL207538,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRP,ENSG00000094755,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,MIDAZOLAM,CHEMBL655,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRA3,ENSG00000011677,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,BREXANOLONE,CHEMBL207538,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRB1,ENSG00000163288,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,MIDAZOLAM,CHEMBL655,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRA5,ENSG00000186297,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,DASATINIB,CHEMBL1421,SMALL MOLECULE,PLATELET-DERIVED GROWTH FACTOR RECEPTOR BETA INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PDGFRB,ENSG00000113721,TYROSINE PROTEIN KINASE PDGFR FAMILY
ALZHEIMER,EFO_0000249,DASATINIB,CHEMBL1421,SMALL MOLECULE,STEM CELL GROWTH FACTOR RECEPTOR INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,KIT,ENSG00000157404,TYROSINE PROTEIN KINASE PDGFR FAMILY
ALZHEIMER,EFO_0000249,LORAZEPAM,CHEMBL580,SMALL MOLECULE,GABA-A RECEPTOR; ANION CHANNEL POSITIVE ALLOSTERIC MODULATOR,POSITIVE ALLOSTERIC MODULATOR,POSITIVE MODULATOR,GABRA1,ENSG00000022355,GABA-A RECEPTOR
ALZHEIMER,EFO_0000249,DASATINIB,CHEMBL1421,SMALL MOLECULE,SRC INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,FRK,ENSG00000111816,TYROSINE PROTEIN KINASE SRC FAMILY
